,Symbol,Description,Category2,Category3,Sector,Market cap,Dividend yield,Country,Action
54,SCHW,Charles Schwab Corporation,Common stocks,Large cap,Financials,"$161,262,640,108",0.84%,USA,Analyze
55,UNP,Union Pacific Corp,Common stocks,Large cap,Industrials,"$159,401,029,815",1.72%,USA,Analyze
56,TMUS,T Mobile US Inc,Common stocks,Large cap,Communication Services,"$148,112,767,469",0.00%,USA,Analyze
57,PM,Philip Morris International Inc,Common stocks,Large cap,Consumer Staples,"$145,625,661,187",5.19%,USA,Analyze
58,AMAT,Applied Material Inc,Common stocks,Large cap,Information Technology,"$144,578,875,715",0.72%,USA,Analyze
59,HON,Honeywell International Inc,Common stocks,Large cap,Industrials,"$142,111,154,729",0.89%,USA,Analyze
60,MDT,Medtronic Plc,Common stocks,Large cap,Health Care,"$140,412,169,383",2.35%,USA,Analyze
61,BLK,Blackrock Inc,Common stocks,Large cap,Financials,"$140,154,229,985",1.78%,USA,Analyze
62,BMY,Bristol Myers Squibb,Common stocks,Large cap,Health Care,"$138,261,683,001",3.11%,USA,Analyze
63,CVS,CVS Health Corp,Common stocks,Large cap,Health Care,"$135,174,006,477",1.94%,USA,Analyze
64,SBUX,Starbucks Corp,Common stocks,Large cap,Consumer Discretionary,"$134,002,904,000",1.60%,USA,Analyze
65,EL,Estee Lauder Inc Class A,Common stocks,Large cap,Consumer Staples,"$133,530,619,844",0.59%,USA,Analyze
66,NOW,Servicenow Inc,Common stocks,Large cap,Information Technology,"$131,992,720,000",0.00%,USA,Analyze
67,ISRG,Intuitive Surgical Inc,Common stocks,Large cap,Health Care,"$130,241,414,783",0.00%,USA,Analyze
68,AMT,American Tower Corporation,REITs,Large cap,Real Estate,"$130,139,018,055",1.81%,USA,Analyze
69,GS,Goldman Sachs Group Inc,Common stocks,Large cap,Financials,"$129,913,067,959",1.66%,USA,Analyze
70,RTX,Raytheon Technologies Corporation,Common stocks,Large cap,Industrials,"$127,585,334,728",2.33%,USA,Analyze
71,AXP,American Express,Common stocks,Large cap,Financials,"$127,329,221,551",1.04%,USA,Analyze
72,AMGN,Amgen Inc,Common stocks,Large cap,Health Care,"$126,830,583,153",3.09%,USA,Analyze
73,C,Citigroup Inc,Common stocks,Large cap,Financials,"$122,924,521,349",3.33%,USA,Analyze
74,PLD,"Prologis, Inc",REITs,Large cap,Real Estate,"$122,646,956,030",1.51%,USA,Analyze
75,BA,Boeing,Common stocks,Large cap,Industrials,"$119,402,851,340",0.00%,USA,Analyze
76,IBM,International Business Machines Co,Common stocks,Large cap,Information Technology,"$117,973,648,008",4.89%,USA,Analyze
